time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,ehc_plans,number_asd,number_hi,number_mld,number_msi,number_oth,number_pd,number_pmld,number_semh,number_slcn,number_sld,number_spld,number_vi,number_need_unknown,asd_pc,hi_pc,mld_pc,msi_pc,oth_pc,pd_pc,pmld_pc,semh_pc,slcn_pc,sld_pc,spld_pc,vi_pc,unknown_pc
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Non-maintained early years,3492,941,45,168,16,67,209,96,56,1666,92,29,37,70,26.9,1.3,4.8,0.5,1.9,6,2.7,1.6,47.7,2.6,0.8,1.1,2
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Placement not recorded,3203,759,25,246,7,30,83,31,1083,643,36,67,9,184,23.7,0.8,7.7,0.2,0.9,2.6,1,33.8,20.1,1.1,2.1,0.3,5.7
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Special - Academy/free schools,3082,894,10,149,9,37,105,96,969,638,73,33,8,61,29,0.3,4.8,0.3,1.2,3.4,3.1,31.4,20.7,2.4,1.1,0.3,2
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Special - independent,2344,718,3,88,0,20,15,10,1112,264,24,60,1,29,30.6,0.1,3.8,0,0.9,0.6,0.4,47.4,11.3,1,2.6,0,1.2
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Special - LA maintained,3491,1195,46,222,19,27,150,157,530,849,211,37,11,37,34.2,1.3,6.4,0.5,0.8,4.3,4.5,15.2,24.3,6,1.1,0.3,1.1
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Special - non-maintained,143,47,13,7,1,1,6,5,23,28,4,2,4,2,32.9,9.1,4.9,0.7,0.7,4.2,3.5,16.1,19.6,2.8,1.4,2.8,1.4
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Special - total,9060,2854,72,466,29,85,276,268,2634,1779,312,132,24,129,31.5,0.8,5.1,0.3,0.9,3,3,29.1,19.6,3.4,1.5,0.3,1.4
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 10,761,229,4,105,1,34,14,3,201,104,3,46,3,14,30.1,0.5,13.8,0.1,4.5,1.8,0.4,26.4,13.7,0.4,6,0.4,1.8
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 11,667,188,6,82,3,29,9,2,229,63,7,31,2,16,28.2,0.9,12.3,0.4,4.3,1.3,0.3,34.3,9.4,1,4.6,0.3,2.4
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 12,364,108,2,9,0,21,8,1,151,43,3,6,0,12,29.7,0.5,2.5,0,5.8,2.2,0.3,41.5,11.8,0.8,1.6,0,3.3
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 13,461,138,1,25,1,17,4,4,214,31,2,11,1,12,29.9,0.2,5.4,0.2,3.7,0.9,0.9,46.4,6.7,0.4,2.4,0.2,2.6
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 14,428,109,1,19,0,17,8,1,221,32,3,11,0,6,25.5,0.2,4.4,0,4,1.9,0.2,51.6,7.5,0.7,2.6,0,1.4
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 15,341,91,1,16,2,11,7,1,174,20,5,5,0,8,26.7,0.3,4.7,0.6,3.2,2.1,0.3,51,5.9,1.5,1.5,0,2.3
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 16,198,58,0,10,0,10,4,0,98,11,0,4,1,2,29.3,0,5.1,0,5.1,2,0,49.5,5.6,0,2,0.5,1
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 17,70,30,0,2,0,4,1,1,23,2,0,1,1,5,42.9,0,2.9,0,5.7,1.4,1.4,32.9,2.9,0,1.4,1.4,7.1
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 18,33,15,0,3,0,1,0,0,9,4,0,1,0,0,45.5,0,9.1,0,3,0,0,27.3,12.1,0,3,0,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 19,14,6,0,1,0,1,0,0,4,2,0,0,0,0,42.9,0,7.1,0,7.1,0,0,28.6,14.3,0,0,0,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 2 and under,39,2,4,4,1,3,13,2,1,7,0,0,2,0,5.1,10.3,10.3,2.6,7.7,33.3,5.1,2.6,17.9,0,0,5.1,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 20 and over,17,5,0,3,0,1,0,1,5,1,1,0,0,0,29.4,0,17.6,0,5.9,0,5.9,29.4,5.9,5.9,0,0,0
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 3,460,100,7,23,5,13,17,6,15,253,6,0,6,9,21.7,1.5,5,1.1,2.8,3.7,1.3,3.3,55,1.3,0,1.3,2
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 4,1231,379,7,55,4,22,34,8,45,652,4,7,3,11,30.8,0.6,4.5,0.3,1.8,2.8,0.6,3.7,53,0.3,0.6,0.2,0.9
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 5,655,245,4,25,0,18,10,1,73,268,3,3,0,5,37.4,0.6,3.8,0,2.7,1.5,0.2,11.1,40.9,0.5,0.5,0,0.8
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 6,549,179,0,37,3,17,16,1,110,172,1,4,1,8,32.6,0,6.7,0.5,3.1,2.9,0.2,20,31.3,0.2,0.7,0.2,1.5
202425,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,Age when plan started,age 7,555,144,3,44,2,20,9,3,149,153,1,12,4,11,25.9,0.5,7.9,0.4,3.6,1.6,0.5,26.8,27.6,0.2,2.2,0.7,2
